Repo Name,Username,Stars,URL
COVID-19,CSSEGISandData,27800,https://www.github.com/CSSEGISandData/COVID-19
covid19india-react,covid19india,6800,https://www.github.com/covid19india/covid19india-react
covid-19-data,nytimes,6600,https://www.github.com/nytimes/covid-19-data
covid19,tokyo-metropolitan-gov,6300,https://www.github.com/tokyo-metropolitan-gov/covid19
covid-19-data,owid,4600,https://www.github.com/owid/covid-19-data
COVID-19,pcm-dpc,3900,https://www.github.com/pcm-dpc/COVID-19
covid-chestxray-dataset,ieee8023,2700,https://www.github.com/ieee8023/covid-chestxray-dataset
API,disease-sh,2300,https://www.github.com/disease-sh/API
corona,geohot,2100,https://www.github.com/geohot/corona
app,WorldHealthOrganization,2100,https://www.github.com/WorldHealthOrganization/app
corona-cli,ahmadawais,1800,https://www.github.com/ahmadawais/corona-cli
cwa-server,corona-warn-app,1800,https://www.github.com/corona-warn-app/cwa-server
coronavirus-tracker-api,ExpDev07,1600,https://www.github.com/ExpDev07/coronavirus-tracker-api
awesome-coronavirus,soroushchehresa,1500,https://www.github.com/soroushchehresa/awesome-coronavirus
CoronaTracker,mhdhejazi,1400,https://www.github.com/mhdhejazi/CoronaTracker
covid19-dashboard,github,1400,https://www.github.com/github/covid19-dashboard
covid19_scenarios,neherlab,1400,https://www.github.com/neherlab/covid19_scenarios
covid19,pomber,1200,https://www.github.com/pomber/covid19
covidpass,covidpass-org,1100,https://www.github.com/covidpass-org/covidpass
covid-19,datasets,1100,https://www.github.com/datasets/covid-19
coronavirus,FoldingAtHome,1100,https://www.github.com/FoldingAtHome/coronavirus
Face-Mask-Detection,chandrikadeb7,1100,https://www.github.com/chandrikadeb7/Face-Mask-Detection
tika-python,chrismattmann,1100,https://www.github.com/chrismattmann/tika-python
COVID-Net,lindawangg,1100,https://www.github.com/lindawangg/COVID-Net
ESP32-Paxcounter,cyberman54,944,https://www.github.com/cyberman54/ESP32-Paxcounter
covid19model,ImperialCollegeLondon,933,https://www.github.com/ImperialCollegeLondon/covid19model
COVID-CT,UCSD-AI4H,902,https://www.github.com/UCSD-AI4H/COVID-CT
coronavirus-data,nychealth,869,https://www.github.com/nychealth/coronavirus-data
covid19-public,MoH-Malaysia,868,https://www.github.com/MoH-Malaysia/covid19-public
makair,makers-for-life,754,https://www.github.com/makers-for-life/makair
