Repo Name,Username,Stars,URL
public-apis,public-apis,169000,https://www.github.com/public-apis/public-apis
httpie,httpie,52900,https://www.github.com/httpie/httpie
neovim,neovim,48900,https://www.github.com/neovim/neovim
strapi,strapi,41100,https://www.github.com/strapi/strapi
fastapi,tiangolo,38800,https://www.github.com/tiangolo/fastapi
hoppscotch,hoppscotch,34200,https://www.github.com/hoppscotch/hoppscotch
slate,slatedocs,33400,https://www.github.com/slatedocs/slate
graphql-engine,hasura,24600,https://www.github.com/hasura/graphql-engine
yapi,YMFE,23100,https://www.github.com/YMFE/yapi
django-rest-framework,encode,22300,https://www.github.com/encode/django-rest-framework
ccxt,ccxt,22200,https://www.github.com/ccxt/ccxt
NeteaseCloudMusicApi,Binaryify,22100,https://www.github.com/Binaryify/NeteaseCloudMusicApi
ItChat,littlecodersh,21900,https://www.github.com/littlecodersh/ItChat
normalizr,paularmstrong,20700,https://www.github.com/paularmstrong/normalizr
security-guide-for-developers,FallibleInc,20000,https://www.github.com/FallibleInc/security-guide-for-developers
insomnia,Kong,18800,https://www.github.com/Kong/insomnia
api-guidelines,microsoft,17800,https://www.github.com/microsoft/api-guidelines
rxdb,pubkey,16600,https://www.github.com/pubkey/rxdb
API-Security-Checklist,shieldfy,16300,https://www.github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13500,https://www.github.com/learn-anything/learn-anything
wxpy,youfou,13000,https://www.github.com/youfou/wxpy
directus,directus,12900,https://www.github.com/directus/directus
jsdoc,jsdoc,12500,https://www.github.com/jsdoc/jsdoc
brain.js,BrainJS,12300,https://www.github.com/BrainJS/brain.js
web3.js,ChainSafe,12200,https://www.github.com/ChainSafe/web3.js
postgraphile,graphile,10900,https://www.github.com/graphile/postgraphile
free-api,fangzesheng,10800,https://www.github.com/fangzesheng/free-api
micro,micro,10700,https://www.github.com/micro/micro
openapi-generator,OpenAPITools,10500,https://www.github.com/OpenAPITools/openapi-generator
chi,go-chi,10500,https://www.github.com/go-chi/chi
