Repo Name,Username,Stars,URL
electron,electron,99100,https://www.github.com/electron/electron
mkcert,FiloSottile,32800,https://www.github.com/FiloSottile/mkcert
playwright,microsoft,30900,https://www.github.com/microsoft/playwright
octotree,ovity,21700,https://www.github.com/ovity/octotree
bypass-paywalls-chrome,iamadamdev,20400,https://www.github.com/iamadamdev/bypass-paywalls-chrome
nightmare,segmentio,19100,https://www.github.com/segmentio/nightmare
linux-command,jaywcjlove,17300,https://www.github.com/jaywcjlove/linux-command
headless-recorder,checkly,13700,https://www.github.com/checkly/headless-recorder
chromeless,prisma-archive,13200,https://www.github.com/prisma-archive/chromeless
WebFundamentals,google,12300,https://www.github.com/google/WebFundamentals
react-color,casesandberg,10200,https://www.github.com/casesandberg/react-color
chrome-extensions-samples,GoogleChrome,9100,https://www.github.com/GoogleChrome/chrome-extensions-samples
ext-saladict,crimx,8300,https://www.github.com/crimx/ext-saladict
uBlock,uBlock-LLC,8100,https://www.github.com/uBlock-LLC/uBlock
chromedp,chromedp,7000,https://www.github.com/chromedp/chromedp
url-to-pdf-api,alvarcarto,6500,https://www.github.com/alvarcarto/url-to-pdf-api
metamask-extension,MetaMask,6300,https://www.github.com/MetaMask/metamask-extension
InfoSpider,kangvcar,6000,https://www.github.com/kangvcar/InfoSpider
simpread,Kenshin,5300,https://www.github.com/Kenshin/simpread
headless-chrome-crawler,yujiosaka,5100,https://www.github.com/yujiosaka/headless-chrome-crawler
ferret,MontFerret,4800,https://www.github.com/MontFerret/ferret
debugger,firefox-devtools,4600,https://www.github.com/firefox-devtools/debugger
themer,themerdev,4500,https://www.github.com/themerdev/themer
polar-bookshelf,burtonator,4400,https://www.github.com/burtonator/polar-bookshelf
SingleFile,gildas-lormeau,4300,https://www.github.com/gildas-lormeau/SingleFile
fetool,nieweidong,4300,https://www.github.com/nieweidong/fetool
HackBrowserData,moonD4rk,3800,https://www.github.com/moonD4rk/HackBrowserData
Surfingkeys,brookhong,3800,https://www.github.com/brookhong/Surfingkeys
bilibili-helper-o,bilibili-helper,3700,https://www.github.com/bilibili-helper/bilibili-helper-o
melonJS,melonjs,3700,https://www.github.com/melonjs/melonJS
