Repo Name,Username,Stars,URL
metabase,metabase,26600,https://github.com/metabase/metabase
deeplearning4j,eclipse,12300,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
mal,kanaka,8200,https://github.com/kanaka/mal
awesomo,lk-geimfari,8200,https://github.com/lk-geimfari/awesomo
logseq,logseq,7700,https://github.com/logseq/logseq
penpot,penpot,6100,https://github.com/penpot/penpot
datascript,tonsky,4400,https://github.com/tonsky/datascript
reagent,reagent-project,4300,https://github.com/reagent-project/reagent
riemann,riemann,4100,https://github.com/riemann/riemann
compojure,weavejester,3900,https://github.com/weavejester/compojure
clojure-style-guide,bbatsov,3700,https://github.com/bbatsov/clojure-style-guide
intellij-rainbow-brackets,izhangzhihao,3700,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring,ring-clojure,3400,https://github.com/ring-clojure/ring
status-react,status-im,3300,https://github.com/status-im/status-react
cider,clojure-emacs,3200,https://github.com/clojure-emacs/cider
lein-figwheel,bhauman,2900,https://github.com/bhauman/lein-figwheel
Rich-Hickey-fanclub,tallesl,2800,https://github.com/tallesl/Rich-Hickey-fanclub
klipse,viebel,2800,https://github.com/viebel/klipse
beakerx,twosigma,2600,https://github.com/twosigma/beakerx
pedestal,pedestal,2400,https://github.com/pedestal/pedestal
babashka,babashka,2400,https://github.com/babashka/babashka
aleph,clj-commons,2400,https://github.com/clj-commons/aleph
hiccup,weavejester,2300,https://github.com/weavejester/hiccup
awesome-clojure,razum2um,2300,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2200,https://github.com/http-kit/http-kit
onyx,onyx-platform,2000,https://github.com/onyx-platform/onyx
defold,defold,1900,https://github.com/defold/defold
lumo,anmonteiro,1900,https://github.com/anmonteiro/lumo
boot,boot-clj,1700,https://github.com/boot-clj/boot
