Repo Name,Username,Stars,URL
electron,electron,99100,https://github.com/electron/electron
mkcert,FiloSottile,32700,https://github.com/FiloSottile/mkcert
playwright,microsoft,30900,https://github.com/microsoft/playwright
octotree,ovity,21700,https://github.com/ovity/octotree
bypass-paywalls-chrome,iamadamdev,20400,https://github.com/iamadamdev/bypass-paywalls-chrome
nightmare,segmentio,19100,https://github.com/segmentio/nightmare
linux-command,jaywcjlove,17300,https://github.com/jaywcjlove/linux-command
headless-recorder,checkly,13700,https://github.com/checkly/headless-recorder
chromeless,prisma-archive,13200,https://github.com/prisma-archive/chromeless
WebFundamentals,google,12300,https://github.com/google/WebFundamentals
react-color,casesandberg,10200,https://github.com/casesandberg/react-color
chrome-extensions-samples,GoogleChrome,9100,https://github.com/GoogleChrome/chrome-extensions-samples
ext-saladict,crimx,8300,https://github.com/crimx/ext-saladict
uBlock,uBlock-LLC,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7000,https://github.com/chromedp/chromedp
url-to-pdf-api,alvarcarto,6500,https://github.com/alvarcarto/url-to-pdf-api
metamask-extension,MetaMask,6300,https://github.com/MetaMask/metamask-extension
InfoSpider,kangvcar,6000,https://github.com/kangvcar/InfoSpider
simpread,Kenshin,5300,https://github.com/Kenshin/simpread
headless-chrome-crawler,yujiosaka,5100,https://github.com/yujiosaka/headless-chrome-crawler
ferret,MontFerret,4800,https://github.com/MontFerret/ferret
debugger,firefox-devtools,4600,https://github.com/firefox-devtools/debugger
themer,themerdev,4500,https://github.com/themerdev/themer
polar-bookshelf,burtonator,4400,https://github.com/burtonator/polar-bookshelf
SingleFile,gildas-lormeau,4300,https://github.com/gildas-lormeau/SingleFile
fetool,nieweidong,4300,https://github.com/nieweidong/fetool
HackBrowserData,moonD4rk,3800,https://github.com/moonD4rk/HackBrowserData
Surfingkeys,brookhong,3800,https://github.com/brookhong/Surfingkeys
bilibili-helper-o,bilibili-helper,3700,https://github.com/bilibili-helper/bilibili-helper-o
melonJS,melonjs,3700,https://github.com/melonjs/melonJS
