Repo Name,Username,Stars,URL
octotree,ovity,21700,https://github.com/ovity/octotree
gitpod,gitpod-io,6000,https://github.com/gitpod-io/gitpod
danger,danger,4700,https://github.com/danger/danger
reviewdog,reviewdog,4400,https://github.com/reviewdog/reviewdog
danger-js,danger,4000,https://github.com/danger/danger-js
awesome-code-review,joho,3200,https://github.com/joho/awesome-code-review
hound,houndci,1900,https://github.com/houndci/hound
nodejsscan,ajinabraham,1900,https://github.com/ajinabraham/nodejsscan
mutant,mbj,1800,https://github.com/mbj/mutant
vscode-pull-request-github,microsoft,1800,https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,1500,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
code-review-tips,ryanmcdermott,1000,https://github.com/ryanmcdermott/code-review-tips
python_sec,bit4woo,1000,https://github.com/bit4woo/python_sec
java-concurrency,code-review-checklists,970,https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,815,https://github.com/jiangsir404/Audit-Learning
codestream,TeamCodeStream,695,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,574,https://github.com/enlightn/enlightn
gerrit-intellij-plugin,uwolfer,428,https://github.com/uwolfer/gerrit-intellij-plugin
policy-bot,palantir,428,https://github.com/palantir/policy-bot
cpp-project,bsamseth,425,https://github.com/bsamseth/cpp-project
diffr,mookid,389,https://github.com/mookid/diffr
code-review-checklist,mgreiler,347,https://github.com/mgreiler/code-review-checklist
static-review,sjparkinson,327,https://github.com/sjparkinson/static-review
raptor,dpnishant,324,https://github.com/dpnishant/raptor
shiba,burrito-brothers,286,https://github.com/burrito-brothers/shiba
github-review,charignon,266,https://github.com/charignon/github-review
code-review,wandersoncferreira,153,https://github.com/wandersoncferreira/code-review
lookout,src-d,143,https://github.com/src-d/lookout
gerrit-rest-java-client,uwolfer,140,https://github.com/uwolfer/gerrit-rest-java-client
