Repo Name,Username,Stars,URL
babel,babel,40000,https://github.com/babel/babel
nylas-mail,nylas,24700,https://github.com/nylas/nylas-mail
react-starter-kit,kriasoft,21000,https://github.com/kriasoft/react-starter-kit
ava,avajs,19400,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,18600,https://github.com/electron-react-boilerplate/electron-react-boilerplate
swc,swc-project,18100,https://github.com/swc-project/swc
electron-vue,SimulatedGREG,14600,https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,14000,https://github.com/grab/front-end-guide
babel-handbook,jamiebuilds,10500,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7700,https://github.com/grommet/grommet
htm,developit,7300,https://github.com/developit/htm
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentation,documentationjs,5400,https://github.com/documentationjs/documentation
nwb,insin,5400,https://github.com/insin/nwb
poi,egoist,5300,https://github.com/egoist/poi
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
twin.macro,ben-rogerson,5000,https://github.com/ben-rogerson/twin.macro
babel-loader,babel,4600,https://github.com/babel/babel-loader
create-react-library,transitive-bullshit,4500,https://github.com/transitive-bullshit/create-react-library
backpack,jaredpalmer,4500,https://github.com/jaredpalmer/backpack
react,duxianwei520,4400,https://github.com/duxianwei520/react
minify,babel,4300,https://github.com/babel/minify
astexplorer,fkling,4300,https://github.com/fkling/astexplorer
babel-plugin-module-resolver,tleunen,3100,https://github.com/tleunen/babel-plugin-module-resolver
webpack-blocks,andywer,3000,https://github.com/andywer/webpack-blocks
babel-eslint,babel,3000,https://github.com/babel/babel-eslint
express-mongoose-es6-rest-api,kunalkapadia,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
gogocode,thx,2500,https://github.com/thx/gogocode
esbuild-loader,privatenumber,2500,https://github.com/privatenumber/esbuild-loader
react-course,uidotdev,2500,https://github.com/uidotdev/react-course
